,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
67,967567.7620453971,1935246.5015330194,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979062730946,0.32023080207795723
68,967567.7621073772,1935246.5014729789,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979060007778,0.32025538788644525
69,967567.7621693551,1935246.5014129446,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979188454221,0.3202799721844433
70,967567.7622318243,1935246.5013224029,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187876868,0.3203139131633069
71,967567.7623255217,1935246.5011865944,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187782683,0.3203648239466834
72,967567.7623567542,1935246.5011413232,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187500158,0.3203817950446305
73,967567.7623567542,1935246.5011413232,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187737971,0.3203817950446305
74,967567.7623262511,1935246.5011408355,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187804556,0.32037885638486957
75,967567.7623255217,1935246.5011865944,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979188049859,0.3203648239466834
76,967567.7622950186,1935246.501186105,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187853371,0.3203618859573727
77,967567.7622640287,1935246.5012161264,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187810083,0.3203495915949792
78,967567.7622640287,1935246.5012161264,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187873033,0.3203495915949792
79,967567.7622637863,1935246.5012313768,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187871319,0.32034491499927276
80,967567.7622640287,1935246.5012161264,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.731697918778741,0.3203495915949792
81,967567.7622640287,1935246.5012161264,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187761721,0.3203495915949792
82,967567.7622640287,1935246.5012161264,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187778462,0.3203495915949792
83,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.73169791878062,0.3203572078474322
84,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187825036,0.3203572078474322
85,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187808574,0.3203572078474322
86,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187788624,0.3203572078474322
87,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.731697918779034,0.3203572078474322
88,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187809131,0.3203572078474322
89,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187820812,0.3203572078474322
90,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187820902,0.3203572078474322
91,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187820467,0.3203572078474322
92,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187819648,0.3203572078474322
93,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187819088,0.3203572078474322
94,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818223,0.3203572078474322
95,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818015,0.3203572078474322
96,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187817543,0.3203572078474322
97,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187816841,0.3203572078474322
98,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187816856,0.3203572078474322
99,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187817246,0.3203572078474322
100,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187817589,0.3203572078474322
101,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187817805,0.3203572078474322
102,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818012,0.3203572078474322
103,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818055,0.3203572078474322
104,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818051,0.3203572078474322
105,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187818056,0.3203572078474322
106,967567.7622947741,1935246.5012013596,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979187817922,0.3203572078474322
