,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
47,967569.5152003303,1935246.587262664,967572.4631,1935248.799,1,3.69,3.5,0,-2.84,-2.799277782718339,0.6436775004243808
48,967569.527368082,1935246.591499294,967572.4631,1935248.799,1,3.67,3.5,0,-2.839,-2.7993171260363954,0.644742956060415
49,967569.5456031226,1935246.5979378826,967572.4631,1935248.799,1,3.65,3.5,0,-2.837,-2.799352638230855,0.6463335504582987
50,967569.5578309105,1935246.6022364874,967572.4631,1935248.799,1,3.64,3.5,0,-2.836,-2.7993547841794855,0.6474133038044494
51,967569.576187723,1935246.6086922672,967572.4631,1935248.799,1,3.62,3.5,0,-2.835,-2.7993059060445065,0.6490475209591159
52,967569.5884457739,1935246.6130066137,967572.4631,1935248.799,1,3.61,3.5,0,-2.834,-2.7993373906012438,0.6501473832744569
53,967569.6007643437,1935246.6173524358,967572.4631,1935248.799,1,3.6,3.5,0,-2.833,-2.7993159309960394,0.6512580430738603
54,967569.6193034537,1935246.6238568893,967572.4631,1935248.799,1,3.58,3.5,0,-2.831,-2.799317586791434,0.6529520557076031
55,967569.6378723372,1935246.630407586,967572.4631,1935248.799,1,3.56,3.5,0,-2.829,-2.7993330986983387,0.6546586258082092
56,967569.6503126811,1935246.634770602,967572.4631,1935248.799,1,3.55,3.5,0,-2.828,-2.7993206928109013,0.6558177558712671
57,967569.6690030986,1935246.641353738,967572.4631,1935248.799,1,3.53,3.5,0,-2.826,-2.799321878728077,0.6575683859314889
58,967569.6815039638,1935246.6457482353,967572.4631,1935248.799,1,3.52,3.5,0,-2.825,-2.7993285718391765,0.6587516506787995
59,967569.700316153,1935246.6523485722,967572.4631,1935248.799,1,3.5,3.5,0,-2.823,-2.799325005031906,0.6605512339836901
60,967569.7129080447,1935246.656775027,967572.4631,1935248.799,1,3.49,3.5,0,-2.822,-2.7993240246759994,0.6617647540492136
61,967569.7317805127,1935246.6634220928,967572.4631,1935248.799,1,3.47,3.5,0,-2.82,-2.7993266608189598,0.6635972336982735
62,967569.7444331724,1935246.667864771,967572.4631,1935248.799,1,3.45,3.5,0,-2.819,-2.799325005055792,0.6648401714951414
63,967569.7635184366,1935246.6745609946,967572.4631,1935248.799,1,3.44,3.5,0,-2.817,-2.7993245148838644,0.6667335702601132
64,967569.7826032182,1935246.6812877238,967572.4631,1935248.799,1,3.42,3.5,0,-2.815,-2.799325239983651,0.6686410903653477
65,967569.7954074278,1935246.685793835,967572.4631,1935248.799,1,3.4,3.5,0,-2.814,-2.79932544557013,0.6699344957699946
66,967569.8081813746,1935246.6902842147,967572.4631,1935248.799,1,3.39,3.5,0,-2.813,-2.799325005061935,0.6712357755264743
67,967569.8209855796,1935246.69479033,967572.4631,1935248.799,1,3.38,3.5,0,-2.811,-2.799325240032378,0.6725488510975349
68,967569.8403134224,1935246.7015819547,967572.4631,1935248.799,1,3.36,3.5,0,-2.809,-2.7993254455809846,0.674552318796195
69,967569.8596715258,1935246.7083893134,967572.4631,1935248.799,1,3.34,3.5,0,-2.807,-2.7993250050408465,0.6765809915846394
70,967569.8726275231,1935246.7129436145,967572.4631,1935248.799,1,3.33,3.5,0,-2.806,-2.7993250050669687,0.6779523386112511
71,967569.8791814191,1935246.715244858,967572.4631,1935248.799,1,3.32,3.5,0,-2.805,-2.799325240014446,0.6786507269550135
72,967569.9052149457,1935246.7243859102,967572.4631,1935248.799,1,3.29,3.5,0,-2.802,-2.7993250050764145,0.6814522899805651
73,967569.9117685992,1935246.726702404,967572.4631,1935248.799,1,3.29,3.5,0,-2.802,-2.799325005052718,0.6821609100884646
74,967569.9313390161,1935246.7335894264,967572.4631,1935248.799,1,3.27,3.5,0,-2.8,-2.799325005037208,0.684301103020258
75,967569.944446808,1935246.7381919133,967572.4631,1935248.799,1,3.25,3.5,0,-2.798,-2.79932500507262,0.6857513524616535
76,967569.9642602837,1935246.7451438305,967572.4631,1935248.799,1,3.23,3.5,0,-2.796,-2.7993250050855583,0.6879669679609176
77,967569.984073517,1935246.7521109965,967572.4631,1935248.799,1,3.21,3.5,0,-2.794,-2.799325005085919,0.6902060602789714
78,967570.0038564897,1935246.7590624266,967572.4631,1935248.799,1,3.2,3.5,0,-2.791,-2.799325005073575,0.6924705271979849
79,967570.0238820388,1935246.7661092584,967572.4631,1935248.799,1,3.18,3.5,0,-2.789,-2.7993250050846687,0.6947888671629024
80,967570.043846822,1935246.7731398628,967572.4631,1935248.799,1,3.16,3.5,0,-2.787,-2.799325005100743,0.6971280206550691
81,967570.0706383359,1935246.7825828537,967572.4631,1935248.799,1,3.13,3.5,0,-2.784,-2.7993250050784555,0.700311544264116
82,967570.0840492231,1935246.7873122124,967572.4631,1935248.799,1,3.12,3.5,0,-2.782,-2.799325005079939,0.7019248817789628
83,967570.1041657985,1935246.7943910065,967572.4631,1935248.799,1,3.1,3.5,0,-2.779,-2.7993250050948295,0.704374670853596
84,967570.124464667,1935246.8015184691,967572.4631,1935248.799,1,3.08,3.5,0,-2.777,-2.7993250050943166,0.7068826415813211
85,967570.1379363223,1935246.8062640524,967572.4631,1935248.799,1,3.06,3.5,0,-2.775,-2.799325005091382,0.7085614380247226
86,967570.1584170014,1935246.813470693,967572.4631,1935248.799,1,3.04,3.5,0,-2.773,-2.799325005074714,0.7111438188971073
87,967570.1787763933,1935246.8206296342,967572.4631,1935248.799,1,3.02,3.5,0,-2.77,-2.7993250050797056,0.713746414932639
88,967570.1993483434,1935246.8278529781,967572.4631,1935248.799,1,3.0,3.5,0,-2.767,-2.799325005087974,0.7164141425265249
89,967570.2267162764,1935246.8375034735,967572.4631,1935248.799,1,2.97,3.5,0,-2.764,-2.7993250050707887,0.7200091364817834
90,967570.2405220148,1935246.842345916,967572.4631,1935248.799,1,2.96,3.5,0,-2.762,-2.7993250050868412,0.721853981384561
91,967570.2543580161,1935246.8472040999,967572.4631,1935248.799,1,2.95,3.5,0,-2.76,-2.7993250050979084,0.7237185995989074
92,967570.2682240377,1935246.8520932703,967572.4631,1935248.799,1,2.93,3.5,0,-2.758,-2.799325005098023,0.725599373901049
93,967570.2890080566,1935246.8594115325,967572.4631,1935248.799,1,2.91,3.5,0,-2.755,-2.79932500507889,0.7284540335732413
94,967570.3099436255,1935246.8667932309,967572.4631,1935248.799,1,2.89,3.5,0,-2.752,-2.7993250050832326,0.7313675792471992
95,967570.330849176,1935246.8741439406,967572.4631,1935248.799,1,2.87,3.5,0,-2.75,-2.7993250051004206,0.7343237395115007
96,967570.3588547789,1935246.8839876633,967572.4631,1935248.799,1,2.85,3.5,0,-2.746,-2.799325005104359,0.7383513531788145
97,967570.3799426248,1935246.8913870442,967572.4631,1935248.799,1,2.82,3.5,0,-2.742,-2.799325005076545,0.7414388985949684
98,967570.3799426248,1935246.8913870442,967572.4631,1935248.799,1,2.82,3.5,0,-2.742,-2.7993250050728267,0.7414388985949684
99,967570.4151388194,1935246.9037862453,967572.4631,1935248.799,1,2.79,3.5,0,-2.737,-2.7993250050737966,0.7466803549295582
100,967570.4221476051,1935246.906262548,967572.4631,1935248.799,1,2.78,3.5,0,-2.736,-2.799325005075708,0.7477376283688405
101,967570.450395782,1935246.916201674,967572.4631,1935248.799,1,2.76,3.5,0,-2.732,-2.799325005078728,0.752062857410736
102,967570.4645348807,1935246.921186729,967572.4631,1935248.799,1,2.74,3.5,0,-2.73,-2.7993250050811724,0.7542575467970316
